"date","variable","value"
2013-07-21 17:57:33.382,"X1",0.801341300364584
2013-07-21 17:57:34.382,"X1",0.948421387467533
2013-07-21 17:57:35.382,"X1",0.253658616216853
2013-07-21 17:57:36.382,"X1",0.251187797402963
2013-07-21 17:57:37.382,"X1",0.909180254442617
2013-07-21 17:57:38.382,"X1",0.867013294016942
2013-07-21 17:57:39.382,"X1",0.902067426359281
2013-07-21 17:57:40.382,"X1",0.476597755681723
2013-07-21 17:57:41.382,"X1",0.12147872755304
2013-07-21 17:57:42.382,"X1",0.499942921334878
2013-07-21 17:57:43.382,"X1",0.578414218965918
2013-07-21 17:57:44.382,"X1",0.418221714906394
2013-07-21 17:57:45.382,"X1",0.369022322818637
2013-07-21 17:57:46.382,"X1",0.112973449053243
2013-07-21 17:57:47.382,"X1",0.614677186124027
2013-07-21 17:57:48.382,"X1",0.73967200005427
2013-07-21 17:57:49.382,"X1",0.328799422830343
2013-07-21 17:57:50.382,"X1",0.382261033635587
2013-07-21 17:57:51.382,"X1",0.132798221195117
2013-07-21 17:57:52.382,"X1",0.437271035742015
2013-07-21 17:57:53.382,"X1",0.229162967531011
2013-07-21 17:57:54.382,"X1",0.0297553027048707
2013-07-21 17:57:55.382,"X1",0.0346812147181481
2013-07-21 17:57:56.382,"X1",0.31219093571417
2013-07-21 17:57:57.382,"X1",0.159097681753337
2013-07-21 17:57:58.382,"X1",0.546597007196397
2013-07-21 17:57:59.382,"X1",0.931627938291058
2013-07-21 17:58:00.382,"X1",0.33772503118962
2013-07-21 17:58:01.382,"X1",0.00747179496102035
2013-07-21 17:58:02.382,"X1",0.947955054463819
2013-07-21 17:58:03.382,"X1",0.971625278936699
2013-07-21 17:58:04.382,"X1",0.723495810292661
2013-07-21 17:58:05.382,"X1",0.994851707248017
2013-07-21 17:58:06.382,"X1",0.446893233107403
2013-07-21 17:58:07.382,"X1",0.058817375684157
2013-07-21 17:58:08.382,"X1",0.353794003371149
2013-07-21 17:58:09.382,"X1",0.141086490824819
2013-07-21 17:58:10.382,"X1",0.0827766235452145
2013-07-21 17:58:11.382,"X1",0.950100359506905
2013-07-21 17:58:12.382,"X1",0.491760302102193
2013-07-21 17:58:13.382,"X1",0.455511260777712
2013-07-21 17:58:14.382,"X1",0.141286673722789
2013-07-21 17:58:15.382,"X1",0.218192233936861
2013-07-21 17:58:16.382,"X1",0.961443424457684
2013-07-21 17:58:17.382,"X1",0.117920213146135
2013-07-21 17:58:18.382,"X1",0.807266793679446
2013-07-21 17:58:19.382,"X1",0.97238092450425
2013-07-21 17:58:20.382,"X1",0.413556086830795
2013-07-21 17:58:21.382,"X1",0.959446619264781
2013-07-21 17:58:22.382,"X1",0.013657626695931
2013-07-21 17:58:23.382,"X1",0.405759047251195
2013-07-21 17:58:24.382,"X1",0.600670515326783
2013-07-21 17:58:25.382,"X1",0.983857279177755
2013-07-21 17:58:26.382,"X1",0.72446299623698
2013-07-21 17:58:27.382,"X1",0.390893714968115
2013-07-21 17:58:28.382,"X1",0.262639994034544
2013-07-21 17:58:29.382,"X1",0.473889079177752
2013-07-21 17:58:30.382,"X1",0.80950307729654
2013-07-21 17:58:31.382,"X1",0.603942271787673
2013-07-21 17:58:32.382,"X1",0.097615476232022
2013-07-21 17:58:33.382,"X1",0.952590527711436
2013-07-21 17:58:34.382,"X1",0.925428950926289
2013-07-21 17:58:35.382,"X1",0.952325019519776
2013-07-21 17:58:36.382,"X1",0.55982148530893
2013-07-21 17:58:37.382,"X1",0.749772140057757
2013-07-21 17:58:38.382,"X1",0.514774340437725
2013-07-21 17:58:39.382,"X1",0.658048080280423
2013-07-21 17:58:40.382,"X1",0.58164508966729
2013-07-21 17:58:41.382,"X1",0.39791624667123
2013-07-21 17:58:42.382,"X1",0.015812152530998
2013-07-21 17:58:43.382,"X1",0.260675251949579
2013-07-21 17:58:44.382,"X1",0.381022011395544
2013-07-21 17:58:45.382,"X1",0.293153485050425
2013-07-21 17:58:46.382,"X1",0.036126459017396
2013-07-21 17:58:47.382,"X1",0.485968319233507
2013-07-21 17:58:48.382,"X1",0.373050718102604
2013-07-21 17:58:49.382,"X1",0.610183501150459
2013-07-21 17:58:50.382,"X1",0.638062444049865
2013-07-21 17:58:51.382,"X1",0.530852569965646
2013-07-21 17:58:52.382,"X1",0.563820543000475
2013-07-21 17:58:53.382,"X1",0.925403042696416
2013-07-21 17:58:54.382,"X1",0.539404707262293
2013-07-21 17:58:55.382,"X1",0.395701809087768
2013-07-21 17:58:56.382,"X1",0.884263617685065
2013-07-21 17:58:57.382,"X1",0.688858078792691
2013-07-21 17:58:58.382,"X1",0.547641657758504
2013-07-21 17:58:59.382,"X1",0.865651636384428
2013-07-21 17:59:00.382,"X1",0.897577091353014
2013-07-21 17:59:01.382,"X1",0.687285890802741
2013-07-21 17:59:02.382,"X1",0.231525767594576
2013-07-21 17:59:03.382,"X1",0.633030123310164
2013-07-21 17:59:04.382,"X1",0.977260298328474
2013-07-21 17:59:05.382,"X1",0.899828508263454
2013-07-21 17:59:06.382,"X1",0.786132598761469
2013-07-21 17:59:07.382,"X1",0.613566705724224
2013-07-21 17:59:08.382,"X1",0.680500087095425
2013-07-21 17:59:09.382,"X1",0.48494761926122
2013-07-21 17:59:10.382,"X1",0.17472699820064
2013-07-21 17:59:11.382,"X1",0.10365783283487
2013-07-21 17:59:12.382,"X1",0.458976955153048
2013-07-21 17:57:33.382,"X2",0.700955556938425
2013-07-21 17:57:34.382,"X2",0.601231342647225
2013-07-21 17:57:35.382,"X2",0.373431177344173
2013-07-21 17:57:36.382,"X2",0.747077494626865
2013-07-21 17:57:37.382,"X2",0.870151893235743
2013-07-21 17:57:38.382,"X2",0.537543970625848
2013-07-21 17:57:39.382,"X2",0.399463195586577
2013-07-21 17:57:40.382,"X2",0.165931690717116
2013-07-21 17:57:41.382,"X2",0.0316158253699541
2013-07-21 17:57:42.382,"X2",0.416160808177665
2013-07-21 17:57:43.382,"X2",0.327316056704149
2013-07-21 17:57:44.382,"X2",0.612488488666713
2013-07-21 17:57:45.382,"X2",0.905889680376276
2013-07-21 17:57:46.382,"X2",0.578026482835412
2013-07-21 17:57:47.382,"X2",0.21155544067733
2013-07-21 17:57:48.382,"X2",0.67808062909171
2013-07-21 17:57:49.382,"X2",0.325505037326366
2013-07-21 17:57:50.382,"X2",0.0875658080913126
2013-07-21 17:57:51.382,"X2",0.697006455855444
2013-07-21 17:57:52.382,"X2",0.632955226581544
2013-07-21 17:57:53.382,"X2",0.737920249579474
2013-07-21 17:57:54.382,"X2",0.482824601465836
2013-07-21 17:57:55.382,"X2",0.947936458978802
2013-07-21 17:57:56.382,"X2",0.899745383067057
2013-07-21 17:57:57.382,"X2",0.810113061685115
2013-07-21 17:57:58.382,"X2",0.491096972720698
2013-07-21 17:57:59.382,"X2",0.0182348603848368
2013-07-21 17:58:00.382,"X2",0.0857717897742987
2013-07-21 17:58:01.382,"X2",0.276790091767907
2013-07-21 17:58:02.382,"X2",0.759836276760325
2013-07-21 17:58:03.382,"X2",0.421348898904398
2013-07-21 17:58:04.382,"X2",0.0238859753590077
2013-07-21 17:58:05.382,"X2",0.170564732281491
2013-07-21 17:58:06.382,"X2",0.345620939740911
2013-07-21 17:58:07.382,"X2",0.784951696172357
2013-07-21 17:58:08.382,"X2",0.478862464660779
2013-07-21 17:58:09.382,"X2",0.242587817832828
2013-07-21 17:58:10.382,"X2",0.574378208024427
2013-07-21 17:58:11.382,"X2",0.376687449403107
2013-07-21 17:58:12.382,"X2",0.577590947505087
2013-07-21 17:58:13.382,"X2",0.137195758987218
2013-07-21 17:58:14.382,"X2",0.251182078151032
2013-07-21 17:58:15.382,"X2",0.656296357046813
2013-07-21 17:58:16.382,"X2",0.288187038619071
2013-07-21 17:58:17.382,"X2",0.540626305853948
2013-07-21 17:58:18.382,"X2",0.80240825843066
2013-07-21 17:58:19.382,"X2",0.43614528584294
2013-07-21 17:58:20.382,"X2",0.177350803045556
2013-07-21 17:58:21.382,"X2",0.968888202682137
2013-07-21 17:58:22.382,"X2",0.948966165306047
2013-07-21 17:58:23.382,"X2",0.315597411710769
2013-07-21 17:58:24.382,"X2",0.822444847552106
2013-07-21 17:58:25.382,"X2",0.568514436017722
2013-07-21 17:58:26.382,"X2",0.176894173258916
2013-07-21 17:58:27.382,"X2",0.185849944595248
2013-07-21 17:58:28.382,"X2",0.0807262493763119
2013-07-21 17:58:29.382,"X2",0.0531854680739343
2013-07-21 17:58:30.382,"X2",0.952100857160985
2013-07-21 17:58:31.382,"X2",0.577587766107172
2013-07-21 17:58:32.382,"X2",0.91425214917399
2013-07-21 17:58:33.382,"X2",0.580587969627231
2013-07-21 17:58:34.382,"X2",0.330022726673633
